State,Sector,GDP
Kansas,Machinery manufacturing,$1597
Kansas,Wood product manufacturing,$88
Kansas,Furniture and related product manufacturing,$236
Kansas,Nonmetallic mineral product manufacturing,$331
Kansas,Textile mills and textile product mills,$51
Kansas,"Electrical equipment, appliance, and component manufacturing",$383
Kansas,Miscellaneous manufacturing,$313
Kansas,Apparel and leather and allied product manufacturing,$64
Kansas,Printing and related support activities,$701
Kentucky,"Motor vehicle, body, trailer, and parts manufacturing",$3965
Kentucky,Petroleum and coal products manufacturing,$1598
Kentucky,Chemical manufacturing,$2589
Kentucky,Primary metal manufacturing,$1492
Kentucky,Paper manufacturing,$1232
Kentucky,Food and beverage and tobacco product manufacturing,$6051
Kentucky,Fabricated metal product manufacturing,$1625
Kentucky,Other transportation equipment manufacturing,$382
Kentucky,Plastics and rubber products manufacturing,$1265
Kentucky,Computer and electronic product manufacturing,$958
Kentucky,Machinery manufacturing,$1794
Kentucky,Wood product manufacturing,$506
Kentucky,Furniture and related product manufacturing,$260
Kentucky,Nonmetallic mineral product manufacturing,$530
Kentucky,Textile mills and textile product mills,$116
Kentucky,"Electrical equipment, appliance, and component manufacturing",$1308
Kentucky,Miscellaneous manufacturing,$359
Kentucky,Apparel and leather and allied product manufacturing,$110
Kentucky,Printing and related support activities,$732
Louisiana,"Motor vehicle, body, trailer, and parts manufacturing",$305
Louisiana,Petroleum and coal products manufacturing,$23885
Louisiana,Chemical manufacturing,$15822
Louisiana,Primary metal manufacturing,$418
Louisiana,Paper manufacturing,$1591
Louisiana,Food and beverage and tobacco product manufacturing,$2063
Louisiana,Fabricated metal product manufacturing,$1443
Louisiana,Other transportation equipment manufacturing,$1424
Louisiana,Plastics and rubber products manufacturing,$470
Louisiana,Computer and electronic product manufacturing,$253
Louisiana,Machinery manufacturing,$1772
Louisiana,Wood product manufacturing,$430
Louisiana,Furniture and related product manufacturing,$78
Louisiana,Nonmetallic mineral product manufacturing,$519
Louisiana,Textile mills and textile product mills,$52
Louisiana,"Electrical equipment, appliance, and component manufacturing",$141
Louisiana,Miscellaneous manufacturing,$279
Louisiana,Apparel and leather and allied product manufacturing,$16
Louisiana,Printing and related support activities,$156
Maine,"Motor vehicle, body, trailer, and parts manufacturing",$14
Maine,Petroleum and coal products manufacturing,$270
Maine,Chemical manufacturing,$376
Maine,Primary metal manufacturing,$19
Maine,Paper manufacturing,$890
Maine,Food and beverage and tobacco product manufacturing,$769
Maine,Fabricated metal product manufacturing,$488
Maine,Other transportation equipment manufacturing,$665
Maine,Plastics and rubber products manufacturing,$233
Maine,Computer and electronic product manufacturing,$457
Maine,Machinery manufacturing,$210
Maine,Wood product manufacturing,$310
Maine,Furniture and related product manufacturing,$58
Maine,Nonmetallic mineral product manufacturing,$76
Maine,Textile mills and textile product mills,$95
Maine,"Electrical equipment, appliance, and component manufacturing",$30
Maine,Miscellaneous manufacturing,$101
Maine,Apparel and leather and allied product manufacturing,$152
Maine,Printing and related support activities,$71
Maryland,"Motor vehicle, body, trailer, and parts manufacturing",$90
Maryland,Petroleum and coal products manufacturing,$368
Maryland,Chemical manufacturing,$4540
Maryland,Primary metal manufacturing,$328
Maryland,Paper manufacturing,$281
Maryland,Food and beverage and tobacco product manufacturing,$2913
Maryland,Fabricated metal product manufacturing,$717
Maryland,Other transportation equipment manufacturing,$762
Maryland,Plastics and rubber products manufacturing,$889
Maryland,Computer and electronic product manufacturing,$4254
Maryland,Machinery manufacturing,$730
Maryland,Wood product manufacturing,$182
Maryland,Furniture and related product manufacturing,$243
Maryland,Nonmetallic mineral product manufacturing,$318
Maryland,Textile mills and textile product mills,$175
Maryland,"Electrical equipment, appliance, and component manufacturing",$161
Maryland,Miscellaneous manufacturing,$449
Maryland,Apparel and leather and allied product manufacturing,$79
Maryland,Printing and related support activities,$506
Massachusetts,"Motor vehicle, body, trailer, and parts manufacturing",$102
Massachusetts,Petroleum and coal products manufacturing,$241
Massachusetts,Chemical manufacturing,$4133
Massachusetts,Primary metal manufacturing,$403
Massachusetts,Paper manufacturing,$727
Massachusetts,Food and beverage and tobacco product manufacturing,$2207
Massachusetts,Fabricated metal product manufacturing,$4351
Massachusetts,Other transportation equipment manufacturing,$1703
Massachusetts,Plastics and rubber products manufacturing,$1397
Massachusetts,Computer and electronic product manufacturing,$13908
Massachusetts,Machinery manufacturing,$2512
Massachusetts,Wood product manufacturing,$135
Massachusetts,Furniture and related product manufacturing,$365
Massachusetts,Nonmetallic mineral product manufacturing,$486
Massachusetts,Textile mills and textile product mills,$398
Massachusetts,"Electrical equipment, appliance, and component manufacturing",$1142
Massachusetts,Miscellaneous manufacturing,$3330
Massachusetts,Apparel and leather and allied product manufacturing,$317
Massachusetts,Printing and related support activities,$1098
Michigan,"Motor vehicle, body, trailer, and parts manufacturing",$18839
Michigan,Petroleum and coal products manufacturing,$1472
Michigan,Chemical manufacturing,$3945
Michigan,Primary metal manufacturing,$2512
